Cpd,Show/Hide,File,Label,RT,Base Peak,Area,Height,Width,Mining Algorithm
1,True,Blank_01-1.d,Cpd 1: 0.098 157.9,0.098,157.9,2159585,112751,0.523,Find by Integration
1,True,Sample_neg_1-3.d,Cpd 1: 0.151 146.8,0.151,146.8,217300,42783,0.173,Find by Integration
1,True,Blank_neg_1-1.d,Cpd 1: 0.196 178.7,0.196,178.7,846225,52866,0.533,Find by Integration
1,True,Sample_neg_1-2.d,Cpd 1: 0.211 190.8,0.211,190.8,521500,46522,0.381,Find by Integration
1,True,Sample_neg_2-3.d,Cpd 1: 0.211 238.8,0.211,238.8,1163936,58575,0.569,Find by Integration
1,True,Sample_neg_3-3.d,Cpd 1: 0.256 238.8,0.256,238.8,1439136,64040,0.659,Find by Integration
1,True,Sample_neg_3-1.d,Cpd 1: 0.346 238.9,0.346,238.9,2003186,75162,0.818,Find by Integration
1,True,Blank_neg_1-2.d,Cpd 1: 0.369 238.7,0.369,238.7,1895683,71314,0.822,Find by Integration
1,True,Sample_neg_3-2.d,Cpd 1: 0.429 324.9,0.429,324.9,2589645,84500,1.028,Find by Integration
2,True,Blank_01-1.d,Cpd 2: 0.857 142.0,0.857,142,334241,122811,0.074,Find by Integration
1,True,Blank_01-2.d,Cpd 1: 0.887 122.8,0.887,122.8,318535,83131,0.138,Find by Integration
1,True,Blank_neg_01-1.d,Cpd 1: 0.940 113.1,0.94,113.1,1212960,142316,0.323,Find by Integration
3,True,Blank_01-1.d,Cpd 3: 0.970 116.7,0.97,116.7,1465855,170113,0.241,Find by Integration
1,True,Blank_neg_01-2.d,Cpd 1: 0.970 113.0,0.97,113,1427064,153425,0.308,Find by Integration
1,True,Sample_1-2.d,Cpd 1: 1.000 122.7,1,122.7,634784,165770,0.109,Find by Integration
2,True,Blank_01-2.d,Cpd 2: 1.022 129.0,1.022,129,1010212,122171,0.236,Find by Integration
1,True,Sample_neg_1-1.d,Cpd 1: 1.037 112.9,1.037,112.9,1738751,180543,0.336,Find by Integration
